ID,Frequency,Recency,Monetary,T,Actual_Purchases,Predicted_Purchases,p_alive,p_not_alive,Actual_Avg_Monetary,Predicted_Avg_Monetary,Actual_cltv,Predicted_cltv,CLTV_label,Cluster,Customer_Segment
10755,6,76,81,300,7.105263157894736,1.3653865207488795e-05,0.0,1.0,13.5,14.175070124186293,0.0,0.1,Profitable,2,Low-Value
8595,5,99,67,138,4.545454545454545,0.45260963457722614,0.2492,0.7508,13.4,14.210397870151883,0.32,0.69,Profitable,2,Low-Value
2968,22,53,902,513,37.35849056603774,1.4614545986242373e-24,0.0,1.0,41.0,41.238731293412386,0.0,0.0,Non-profitable,0,Moderate-Value
8601,19,3,1395,426,570.0,1.7522792440221424e-41,0.0,1.0,73.42105263157895,73.7735095834095,0.0,0.0,Non-profitable,1,VIP
503,5,88,53,474,5.113636363636363,2.8338118130768137e-07,0.0,1.0,10.6,11.385310232744374,0.0,0.02,Profitable,2,Low-Value
8430,3,4,22,552,67.5,3.6099488238688826e-11,0.0,1.0,7.333333333333333,8.600974135681305,0.0,0.01,Profitable,2,Low-Value
2139,5,19,31,270,23.684210526315788,7.453291606056718e-08,0.0,1.0,6.2,6.945886802532576,0.0,0.03,Profitable,2,Low-Value
9909,7,24,122,597,26.25,2.0694633220987474e-14,0.0,1.0,17.428571428571427,18.031665635759815,0.0,0.0,Non-profitable,2,Low-Value
7286,4,92,55,401,3.9130434782608696,1.1173662036740615e-05,0.0,1.0,13.75,14.769200256613656,0.0,0.08,Profitable,2,Low-Value
6566,19,39,1319,598,43.84615384615385,3.033569748524855e-26,0.0,1.0,69.42105263157895,69.76413999886451,0.0,0.0,Non-profitable,1,VIP
8614,16,29,507,48,49.6551724137931,0.08869983417268956,0.0058,0.9942,31.6875,31.990089668944204,0.14,7.37,Profitable,0,Moderate-Value
4114,28,2,1693,687,1260.0,2.0470455381256477e-71,0.0,1.0,60.464285714285715,60.68269392725896,0.0,0.0,Non-profitable,1,VIP
1331,5,54,72,543,8.333333333333332,2.0554617778134373e-09,0.0,1.0,14.4,15.219357740654564,0.0,0.01,Profitable,2,Low-Value
9381,16,57,606,382,25.263157894736842,2.922639963823197e-15,0.0,1.0,37.875,38.19480835298826,0.0,0.0,Non-profitable,0,Moderate-Value
6260,26,55,1957,587,42.54545454545455,4.8775005093576304e-30,0.0,1.0,75.26923076923077,75.52979476220746,0.0,0.0,Non-profitable,1,VIP
10383,20,30,1093,453,60.0,4.810227185021194e-26,0.0,1.0,54.65,54.94302900563883,0.0,0.0,Non-profitable,1,VIP
7437,5,31,29,62,14.516129032258064,0.4269767741288697,0.1075,0.8925,5.8,6.542302854331504,0.14,0.44,Profitable,2,Low-Value
8375,16,63,518,118,22.857142857142854,0.0011515301002273414,0.0002,0.9998,32.375,32.67950285606021,0.0,3.24,Profitable,0,Moderate-Value
6853,20,12,1438,360,150.0,6.845425971104635e-31,0.0,1.0,71.9,72.23141052708526,0.0,0.0,Non-profitable,1,VIP
3076,18,18,612,660,90.0,2.749810531820058e-32,0.0,1.0,34.0,34.27460392277207,0.0,0.0,Non-profitable,0,Moderate-Value
1012,20,26,884,496,69.23076923076924,2.0626321685717675e-28,0.0,1.0,44.2,44.46977759119738,0.0,0.0,Non-profitable,0,Moderate-Value
6518,18,8,606,383,202.5,1.0985084043879969e-31,0.0,1.0,33.666666666666664,33.94044630575382,0.0,0.0,Non-profitable,0,Moderate-Value
4137,15,29,1076,205,46.55172413793104,3.5547452347973017e-13,0.0,1.0,71.73333333333333,72.17504719493661,0.0,0.01,Profitable,1,VIP
8082,4,75,34,404,4.800000000000001,3.4217864084513257e-06,0.0,1.0,8.5,9.460269102562592,0.0,0.04,Profitable,2,Low-Value
1386,3,0,11,49,0.0,6.534300678481104e-05,0.0,1.0,3.6666666666666665,4.879223675728493,0.0,0.2,Profitable,2,Low-Value
9369,31,19,1274,102,146.8421052631579,6.164571198874376e-21,0.0,1.0,41.096774193548384,41.266235796672305,0.0,0.0,Non-profitable,0,Moderate-Value
4477,17,4,653,275,382.5,4.097131318200439e-31,0.0,1.0,38.411764705882355,38.71411716168229,0.0,0.0,Non-profitable,0,Moderate-Value
1357,12,90,1562,447,12.0,4.830907488813513e-11,0.0,1.0,130.16666666666666,130.9362328267178,0.0,0.0,Non-profitable,3,High-Value
1402,18,1,1253,656,1620.0,1.120997000432203e-50,0.0,1.0,69.61111111111111,69.97377600755513,0.0,0.0,Non-profitable,1,VIP
6312,26,29,863,469,80.6896551724138,9.663721577587592e-34,0.0,1.0,33.19230769230769,33.380891862900995,0.0,0.0,Non-profitable,0,Moderate-Value
8132,19,88,661,450,19.431818181818183,8.468070059426286e-16,0.0,1.0,34.78947368421053,35.05144017477754,0.0,0.0,Non-profitable,0,Moderate-Value
1050,7,58,65,60,10.862068965517242,5.350290777183311,0.9599,0.040100000000000025,9.285714285714286,9.836828028452834,2.63,0.99,Profitable,2,Low-Value
5846,3,68,13,557,3.9705882352941178,1.5519131968540834e-07,0.0,1.0,4.333333333333333,5.555905577538095,0.0,0.01,Profitable,2,Low-Value
1859,18,34,1890,671,47.64705882352941,1.197207365922404e-27,0.0,1.0,105.0,105.45017634765935,0.0,0.0,Non-profitable,3,High-Value
7503,22,40,2209,625,49.50000000000001,4.772750944185036e-30,0.0,1.0,100.4090909090909,100.76796713859265,0.0,0.0,Non-profitable,3,High-Value
10401,3,12,18,298,22.5,5.941732625453485e-07,0.0,1.0,6.0,7.247610332062101,0.0,0.04,Profitable,2,Low-Value
1618,19,9,692,543,190.0,1.2526145468887803e-36,0.0,1.0,36.421052631578945,36.686840926368255,0.0,0.0,Non-profitable,0,Moderate-Value
3332,8,87,165,669,8.275862068965518,6.495918593720414e-12,0.0,1.0,20.625,21.170126485564253,0.0,0.0,Non-profitable,2,Low-Value
2261,3,5,16,371,54.0,6.86979779504626e-09,0.0,1.0,5.333333333333333,6.570928430252498,0.0,0.02,Profitable,2,Low-Value
5346,6,87,79,361,6.206896551724138,3.246933182810695e-06,0.0,1.0,13.166666666666666,13.839251649027037,0.0,0.05,Profitable,2,Low-Value
4119,10,56,318,414,16.071428571428573,1.981327843300417e-11,0.0,1.0,31.8,32.28545493701532,0.0,0.0,Non-profitable,0,Moderate-Value
535,26,18,778,124,130.0,1.4000411533086393e-20,0.0,1.0,29.923076923076923,30.106068511492353,0.0,0.0,Non-profitable,0,Moderate-Value
5268,5,95,56,322,4.7368421052631575,7.02769140922343e-05,0.0001,0.9999,11.2,11.990686155045983,0.0,0.11,Profitable,2,Low-Value
273,8,48,151,348,15.0,2.917603122091393e-09,0.0,1.0,18.875,19.410359443987343,0.0,0.01,Profitable,2,Low-Value
4452,13,3,372,32,390.0,2.9039196347629426e-10,0.0,1.0,28.615384615384617,28.97751320979087,0.0,5.42,Profitable,0,Moderate-Value
771,9,79,194,159,10.253164556962025,0.0060801726046851665,0.0022,0.9978,21.555555555555557,22.04442578923222,0.01,1.24,Profitable,2,Low-Value
11178,4,69,32,98,5.217391304347826,0.7694182317705998,0.3698,0.6302,8.0,8.954656611700585,0.34,0.42,Profitable,2,Low-Value
7516,5,30,45,38,15.0,4.870705275822001,0.7601,0.2399,9.0,9.770974439940085,2.38,0.78,Profitable,2,Low-Value
7247,17,72,606,584,21.25,4.576188331110485e-19,0.0,1.0,35.64705882352941,35.942171361172306,0.0,0.0,Non-profitable,0,Moderate-Value
11100,5,37,63,444,12.162162162162163,4.698731301335133e-09,0.0,1.0,12.6,13.403229973749736,0.0,0.01,Profitable,2,Low-Value
4646,24,44,978,210,49.090909090909086,2.46331205481436e-16,0.0,1.0,40.75,40.9683367719645,0.0,0.0,Non-profitable,0,Moderate-Value
3037,14,32,410,374,39.375,4.352608674727106e-17,0.0,1.0,29.285714285714285,29.624026994459587,0.0,0.0,Non-profitable,0,Moderate-Value
1473,5,0,72,341,0.0,7.328693374047074e-16,0.0,1.0,14.4,15.219357740654564,0.0,0.01,Profitable,2,Low-Value
1016,5,43,55,91,10.465116279069766,0.1258785903957127,0.0462,0.9538,11.0,11.788894180945446,0.07,0.66,Profitable,2,Low-Value
4518,25,59,1169,435,38.13559322033898,8.993298117190329e-24,0.0,1.0,46.76,46.98028087950061,0.0,0.0,Non-profitable,0,Moderate-Value
9370,15,68,1120,408,19.852941176470587,5.927028380786882e-14,0.0,1.0,74.66666666666667,75.11708927106743,0.0,0.0,Non-profitable,1,VIP
8908,19,35,1097,52,48.857142857142854,0.17613927206186372,0.0106,0.9894,57.73684210526316,58.052560422956745,0.51,15.63,Profitable,1,VIP
8373,4,94,29,201,3.829787234042553,0.016455291404787235,0.0159,0.9841,7.25,8.196237875407576,0.01,0.21,Profitable,2,Low-Value
7533,9,15,187,278,54.0,5.431509955474765e-13,0.0,1.0,20.77777777777778,21.262791818467267,0.0,0.01,Profitable,2,Low-Value
2683,22,56,910,512,35.357142857142854,5.3174242583394146e-24,0.0,1.0,41.36363636363637,41.6031030506897,0.0,0.0,Non-profitable,0,Moderate-Value
3629,7,17,145,557,37.05882352941176,6.76258426578989e-15,0.0,1.0,20.714285714285715,21.338354494848602,0.0,0.0,Non-profitable,2,Low-Value
10991,13,18,850,569,65.0,2.842952424873714e-23,0.0,1.0,65.38461538461539,65.87275975216076,0.0,0.0,Non-profitable,1,VIP
5077,23,46,969,239,45.0,7.647668336830098e-17,0.0,1.0,42.130434782608695,42.36095290439538,0.0,0.0,Non-profitable,0,Moderate-Value
7431,16,40,1820,596,36.0,1.2241910024761109e-22,0.0,1.0,113.75,114.28095464015472,0.0,0.0,Non-profitable,3,High-Value
999,24,95,730,543,22.736842105263158,5.004188003147581e-21,0.0,1.0,30.416666666666668,30.61585068343458,0.0,0.0,Non-profitable,0,Moderate-Value
9215,16,19,551,564,75.78947368421052,4.376615793011968e-27,0.0,1.0,34.4375,34.74774241740823,0.0,0.0,Non-profitable,0,Moderate-Value
2286,6,27,114,292,20.0,2.3237189496243886e-08,0.0,1.0,19.0,19.716074964313997,0.0,0.05,Profitable,2,Low-Value
1592,15,25,1724,156,54.0,8.441186117790165e-12,0.0,1.0,114.93333333333334,115.50330322522682,0.0,0.15,Profitable,3,High-Value
367,15,74,577,495,18.243243243243246,2.2643492809325384e-15,0.0,1.0,38.46666666666667,38.80961546790758,0.0,0.0,Non-profitable,0,Moderate-Value
5234,5,85,81,353,5.294117647058823,1.1254817039461145e-05,0.0,1.0,16.2,17.035485507559393,0.0,0.1,Profitable,2,Low-Value
9862,5,37,33,227,12.162162162162163,1.398270370634252e-05,0.0,1.0,6.6,7.349470750733649,0.0,0.08,Profitable,2,Low-Value
9805,18,65,660,374,24.923076923076923,1.6400360229358498e-15,0.0,1.0,36.666666666666664,36.947864858918074,0.0,0.0,Non-profitable,0,Moderate-Value
6205,6,13,80,125,41.53846153846154,3.5598964225191464e-06,0.0,1.0,13.333333333333334,14.007160886606666,0.0,0.43,Profitable,2,Low-Value
8442,4,63,30,298,5.7142857142857135,4.435253103273898e-05,0.0001,0.9999,7.5,8.449044120838579,0.0,0.08,Profitable,2,Low-Value
7386,4,83,43,433,4.337349397590362,2.4763490994528956e-06,0.0,1.0,10.75,11.735525311441618,0.0,0.04,Profitable,2,Low-Value
7215,27,69,1135,474,35.21739130434783,6.682492224845837e-25,0.0,1.0,42.03703703703704,42.23319422672335,0.0,0.0,Non-profitable,0,Moderate-Value
1491,14,87,559,496,14.482758620689655,1.4269334924066308e-13,0.0,1.0,39.92857142857143,40.30074574789391,0.0,0.0,Non-profitable,0,Moderate-Value
11071,15,37,1923,434,36.48648648648649,1.2208860638539108e-18,0.0,1.0,128.2,128.80935716045482,0.0,0.0,Non-profitable,3,High-Value
8026,14,10,463,272,125.99999999999999,5.644808876251743e-21,0.0,1.0,33.07142857142857,33.42178601413757,0.0,0.0,Non-profitable,0,Moderate-Value
433,18,42,632,476,38.57142857142857,9.321269429072428e-22,0.0,1.0,35.111111111111114,35.38846264616624,0.0,0.0,Non-profitable,0,Moderate-Value
9597,18,10,725,139,162.0,1.0376043949352784e-19,0.0,1.0,40.27777777777778,40.567905709949116,0.0,0.01,Profitable,0,Moderate-Value
5290,11,51,279,319,19.411764705882355,1.390283702943147e-10,0.0,1.0,25.363636363636363,25.778694482869042,0.0,0.0,Non-profitable,0,Moderate-Value
1685,22,21,1482,469,94.28571428571429,4.2848809174376765e-32,0.0,1.0,67.36363636363636,67.65568369601725,0.0,0.0,Non-profitable,1,VIP
5342,4,31,29,690,11.612903225806452,3.1757903488111815e-11,0.0,1.0,7.25,8.196237875407576,0.0,0.0,Non-profitable,2,Low-Value
9579,6,61,106,357,8.852459016393443,3.0914358311444003e-07,0.0,1.0,17.666666666666668,18.372801063676977,0.0,0.04,Profitable,2,Low-Value
7660,4,37,49,41,9.72972972972973,4.455236623818603,0.913,0.08699999999999997,12.25,13.252362784027637,2.95,0.84,Profitable,2,Low-Value
1461,5,74,38,336,6.081081081081082,8.708090513508974e-06,0.0,1.0,7.6,8.35843062123633,0.0,0.05,Profitable,2,Low-Value
821,21,46,2077,618,41.086956521739125,1.8275313718887695e-27,0.0,1.0,98.9047619047619,99.27757625845784,0.0,0.0,Non-profitable,3,High-Value
11084,15,4,1053,227,337.5,5.920471294551638e-26,0.0,1.0,70.2,70.63716156423186,0.0,0.0,Non-profitable,1,VIP
8690,22,73,1385,436,27.123287671232877,3.120150677214542e-19,0.0,1.0,62.95454545454545,63.23767613902988,0.0,0.0,Non-profitable,1,VIP
2937,22,47,871,305,42.12765957446808,6.169116305516319e-19,0.0,1.0,39.59090909090909,39.826790733962824,0.0,0.0,Non-profitable,0,Moderate-Value
9701,9,13,312,467,62.30769230769231,3.046970737177555e-17,0.0,1.0,34.666666666666664,35.22054129641283,0.0,0.0,Non-profitable,0,Moderate-Value
9949,12,36,877,619,30.0,3.794833293145431e-19,0.0,1.0,73.08333333333333,73.64089949961738,0.0,0.0,Non-profitable,1,VIP
10837,5,47,68,609,9.574468085106384,1.5820619399035223e-10,0.0,1.0,13.6,14.412189844252419,0.0,0.0,Non-profitable,2,Low-Value
3120,3,49,22,305,5.5102040816326525,4.0105002078981684e-05,0.0001,0.9999,7.333333333333333,8.600974135681305,0.0,0.07,Profitable,2,Low-Value
5885,9,94,211,676,8.617021276595745,1.8756652473673005e-12,0.0,1.0,23.444444444444443,23.942679718232814,0.0,0.0,Non-profitable,2,Low-Value
3830,15,59,459,66,22.881355932203387,7.682784151088482,0.7353,0.26470000000000005,30.6,30.919593536465836,11.88,6.44,Profitable,0,Moderate-Value
7987,15,96,460,114,14.0625,2.0825443087373228,0.3402,0.6597999999999999,30.666666666666668,30.986458129105173,3.23,5.1,Profitable,0,Moderate-Value
7798,13,28,429,562,41.785714285714285,1.0101895714724017e-20,0.0,1.0,33.0,33.37715557990611,0.0,0.0,Non-profitable,0,Moderate-Value
92,7,12,89,48,52.5,0.004085086058573204,0.0006,0.9994,12.714285714285714,13.287285968371563,0.0,1.28,Profitable,2,Low-Value
7055,24,57,1021,628,37.89473684210526,1.0449900910890879e-28,0.0,1.0,42.541666666666664,42.76332427924993,0.0,0.0,Non-profitable,0,Moderate-Value
10240,20,10,1381,495,180.0,2.7062617814110892e-36,0.0,1.0,69.05,69.37506923223758,0.0,0.0,Non-profitable,1,VIP
3025,12,4,306,356,270.0,1.1296941224635017e-24,0.0,1.0,25.5,25.880847923304454,0.0,0.0,Non-profitable,0,Moderate-Value
9283,3,49,18,290,5.5102040816326525,6.488417359092702e-05,0.0001,0.9999,6.0,7.247610332062101,0.0,0.06,Profitable,2,Low-Value
9970,8,3,162,255,240.0,3.533910866765957e-16,0.0,1.0,20.25,20.79303354808349,0.0,0.01,Profitable,2,Low-Value
2730,17,64,1231,313,23.90625,4.745669766735979e-13,0.0,1.0,72.41176470588235,72.80315275093275,0.0,0.0,Non-profitable,1,VIP
2795,3,0,13,363,0.0,3.377639898693427e-11,0.0,1.0,4.333333333333333,5.555905577538095,0.0,0.02,Profitable,2,Low-Value
9260,25,20,1706,601,112.5,2.87953365386157e-40,0.0,1.0,68.24,68.49849854292795,0.0,0.0,Non-profitable,1,VIP
8182,7,91,121,175,6.923076923076923,0.0166616272503252,0.0085,0.9915,17.285714285714285,17.88789655492987,0.01,0.84,Profitable,2,Low-Value
10095,19,9,1293,424,190.0,1.3536138496780187e-33,0.0,1.0,68.05263157894737,68.39251356204649,0.0,0.0,Non-profitable,1,VIP
8475,22,98,1608,120,20.20408163265306,0.7460456610090611,0.0884,0.9116,73.0909090909091,73.39453887313486,2.74,16.62,Profitable,1,VIP
4370,6,83,88,228,6.506024096385542,0.0006879108220554812,0.0005,0.9995,14.666666666666666,15.350434787243683,0.0,0.34,Profitable,2,Low-Value
10573,17,27,421,223,56.66666666666667,4.436842709936378e-16,0.0,1.0,24.764705882352942,25.031320869803206,0.0,0.0,Non-profitable,2,Low-Value
3712,11,63,259,305,15.714285714285714,3.552958989903939e-09,0.0,1.0,23.545454545454547,23.953143826035795,0.0,0.01,Profitable,2,Low-Value
6637,14,46,1117,239,27.39130434782609,7.224399300912937e-11,0.0,1.0,79.78571428571429,80.28469920035268,0.0,0.02,Profitable,1,VIP
3152,6,84,89,124,6.428571428571428,0.39225739199305754,0.1649,0.8351,14.833333333333334,15.518344024823312,0.3,0.94,Profitable,2,Low-Value
5610,4,58,36,69,6.206896551724138,2.2002842376793548,0.7503,0.24970000000000003,9.0,9.965881593424598,1.1,0.54,Profitable,2,Low-Value
6460,5,78,57,351,5.769230769230768,7.051146797905058e-06,0.0,1.0,11.4,12.19247812914652,0.0,0.06,Profitable,2,Low-Value
1349,7,4,148,69,157.5,1.5981599376251953e-07,0.0,1.0,21.142857142857142,21.769661737338442,0.0,1.49,Profitable,2,Low-Value
1880,6,17,93,150,31.764705882352942,2.6518541314434143e-06,0.0,1.0,15.5,16.18998097514182,0.0,0.35,Profitable,2,Low-Value
641,6,77,119,86,7.012987012987013,2.7055121932570665,0.7957,0.20430000000000004,19.833333333333332,20.555621152212133,2.78,1.56,Profitable,2,Low-Value
8717,27,56,1835,655,43.392857142857146,1.2431754160203046e-32,0.0,1.0,67.96296296296296,68.20182558677087,0.0,0.0,Non-profitable,1,VIP
10314,24,79,1318,560,27.341772151898734,1.7288590839860158e-23,0.0,1.0,54.916666666666664,55.16126124817488,0.0,0.0,Non-profitable,1,VIP
6935,24,44,978,210,49.090909090909086,2.46331205481436e-16,0.0,1.0,40.75,40.9683367719645,0.0,0.0,Non-profitable,0,Moderate-Value
10562,23,21,1033,274,98.57142857142858,2.8262605028828846e-26,0.0,1.0,44.91304347826087,45.148943819009936,0.0,0.0,Non-profitable,0,Moderate-Value
10796,5,16,66,158,28.125,7.4192570564292275e-06,0.0,1.0,13.2,14.008605896051346,0.0,0.29,Profitable,2,Low-Value
3518,4,45,50,571,8.0,2.9195005948555684e-09,0.0,1.0,12.5,13.50516902945864,0.0,0.01,Profitable,2,Low-Value
5823,5,63,39,113,7.142857142857142,0.17600618119191083,0.0797,0.9203,7.8,8.560222595336867,0.08,0.44,Profitable,2,Low-Value
3934,16,34,608,331,42.35294117647059,1.9506888947059763e-17,0.0,1.0,38.0,38.32015620519117,0.0,0.0,Non-profitable,0,Moderate-Value
6982,23,14,1581,467,147.85714285714286,3.2905245201178076e-37,0.0,1.0,68.73913043478261,69.02111602539709,0.0,0.0,Non-profitable,1,VIP
6431,5,13,68,491,34.61538461538462,6.5212975119154615e-12,0.0,1.0,13.6,14.412189844252419,0.0,0.0,Non-profitable,2,Low-Value
9733,4,52,80,658,6.923076923076923,6.706997553667377e-10,0.0,1.0,20.0,21.089356392388733,0.0,0.01,Profitable,2,Low-Value
5602,27,98,1282,408,24.795918367346935,2.490636982447241e-18,0.0,1.0,47.48148148148148,47.68660681233333,0.0,0.0,Non-profitable,0,Moderate-Value
7829,5,99,65,276,4.545454545454545,0.0005465109390982463,0.0006,0.9994,13.0,13.80681392195081,0.0,0.22,Profitable,2,Low-Value
1324,6,93,91,395,5.806451612903226,1.5403849856906732e-06,0.0,1.0,15.166666666666666,15.854162499982566,0.0,0.05,Profitable,2,Low-Value
326,12,38,315,496,28.421052631578945,1.015750528371612e-16,0.0,1.0,26.25,26.633633324682418,0.0,0.0,Non-profitable,0,Moderate-Value
7224,4,24,31,182,15.0,6.845529213617714e-05,0.0001,0.9999,7.75,8.701850366269582,0.0,0.15,Profitable,2,Low-Value
9938,16,82,1600,283,17.5609756097561,1.279081224809975e-09,0.0,1.0,100.0,100.4926908978346,0.0,0.02,Profitable,3,High-Value
6422,16,20,1270,528,72.0,5.414950942563364e-26,0.0,1.0,79.375,79.81029528435442,0.0,0.0,Non-profitable,1,VIP
3182,9,81,263,90,10.0,3.641553179181388,0.7684,0.23160000000000003,29.22222222222222,29.749103501058173,5.42,3.33,Profitable,0,Moderate-Value
10424,17,60,1295,202,25.5,3.3198216919397254e-09,0.0,1.0,76.17647058823529,76.57771724524423,0.0,0.07,Profitable,1,VIP
8727,26,63,1150,258,37.14285714285714,2.457606165644414e-16,0.0,1.0,44.23076923076923,44.43823659059839,0.0,0.0,Non-profitable,0,Moderate-Value
2798,26,54,1240,604,43.33333333333333,1.0527481739621358e-30,0.0,1.0,47.69230769230769,47.90569660973695,0.0,0.0,Non-profitable,0,Moderate-Value
1030,4,72,38,347,5.0,1.647243044208824e-05,0.0,1.0,9.5,10.471494084286604,0.0,0.07,Profitable,2,Low-Value
624,3,5,35,596,54.0,2.156170751278008e-11,0.0,1.0,11.666666666666666,12.99940649744372,0.0,0.01,Profitable,2,Low-Value
5176,4,88,53,203,4.090909090909091,0.010499335879097875,0.0102,0.9898,13.25,14.26358776575165,0.01,0.35,Profitable,2,Low-Value
5552,11,50,293,412,19.8,9.677864408515188e-13,0.0,1.0,26.636363636363637,27.05657994265232,0.0,0.0,Non-profitable,0,Moderate-Value
380,24,17,1804,657,127.05882352941177,7.863858006647896e-42,0.0,1.0,75.16666666666667,75.44879447005209,0.0,0.0,Non-profitable,1,VIP
2677,10,11,241,455,81.81818181818181,3.807932607380472e-19,0.0,1.0,24.1,24.551113283962103,0.0,0.0,Non-profitable,2,Low-Value
6521,19,18,1101,103,95.0,2.8404352317970064e-13,0.0,1.0,57.94736842105263,58.263579874774905,0.0,0.3,Profitable,1,VIP
6927,11,70,264,632,14.142857142857142,6.8672399088495355e-15,0.0,1.0,24.0,24.409531490244106,0.0,0.0,Non-profitable,2,Low-Value
