ID,Frequency,Recency,Monetary,T,Actual_Purchases,Predicted_Purchases,p_alive,p_not_alive,Actual_Avg_Monetary,Predicted_Avg_Monetary,Actual_cltv,Predicted_cltv,CLTV_label,Cluster,Customer_Segment
5524,22,58,1617,663,34.137931034482754,2.5165441898577326e-27,0.0,1.0,73.5,73.80445710007183,0.0,0.0,Non-profitable,1,VIP
2174,4,38,27,113,9.473684210526315,0.021791095755753984,0.012,0.988,6.75,7.69062538454557,0.01,0.29,Profitable,2,Low-Value
4141,20,26,776,312,69.23076923076924,8.974189900703663e-23,0.0,1.0,38.8,39.057762506222836,0.0,0.0,Non-profitable,0,Moderate-Value
6182,6,26,53,139,20.76923076923077,6.84477831185136e-05,0.0,1.0,8.833333333333334,9.473611471956728,0.0,0.29,Profitable,2,Low-Value
5324,14,94,422,161,13.404255319148936,0.004706186184723405,0.0011,0.9989,30.142857142857142,30.48389696117913,0.01,2.33,Profitable,0,Moderate-Value
7446,20,16,716,293,112.5,4.032303009412976e-26,0.0,1.0,35.8,36.05108745901477,0.0,0.0,Non-profitable,0,Moderate-Value
965,17,34,590,593,45.0,6.846237600820806e-25,0.0,1.0,34.705882352941174,34.99853023759443,0.0,0.0,Non-profitable,0,Moderate-Value
6177,8,32,169,417,22.5,5.893712155087017e-12,0.0,1.0,21.125,21.672917068871943,0.0,0.0,Non-profitable,2,Low-Value
4855,5,19,46,388,23.684210526315788,9.738179095266085e-10,0.0,1.0,9.2,9.97276641404062,0.0,0.01,Profitable,2,Low-Value
5899,1,68,49,108,1.3235294117647058,0.2541013716661905,0.3922,0.6078,49.0,54.85674915626392,0.7,0.61,Profitable,1,VIP
387,5,59,61,593,7.627118644067796,8.751609528379509e-10,0.0,1.0,12.2,12.999646025548664,0.0,0.0,Non-profitable,2,Low-Value
2125,15,82,1102,226,16.463414634146343,4.1919693835527474e-07,0.0,1.0,73.46666666666667,73.91352660355936,0.0,0.22,Profitable,1,VIP
8180,12,53,310,226,20.37735849056604,2.1771837004871233e-08,0.0,1.0,25.833333333333332,26.21541921280577,0.0,0.04,Profitable,0,Moderate-Value
2569,4,38,46,627,9.473684210526315,3.413104589558494e-10,0.0,1.0,11.5,12.493944047734628,0.0,0.0,Non-profitable,2,Low-Value
2114,25,23,1315,582,97.82608695652173,2.6765951599688177e-38,0.0,1.0,52.6,52.83067152914752,0.0,0.0,Non-profitable,0,Moderate-Value
9736,6,51,96,552,10.588235294117647,1.4969079701020394e-10,0.0,1.0,16.0,16.693708687880704,0.0,0.0,Non-profitable,2,Low-Value
4939,11,20,317,667,49.50000000000001,1.7279128731136014e-21,0.0,1.0,28.818181818181817,29.24724073085222,0.0,0.0,Non-profitable,0,Moderate-Value
6565,24,91,1782,458,23.736263736263737,5.0792135119287225e-19,0.0,1.0,74.25,74.53042876865024,0.0,0.0,Non-profitable,1,VIP
2278,6,86,133,603,6.27906976744186,1.2821807818443214e-09,0.0,1.0,22.166666666666668,22.906350478326917,0.0,0.01,Profitable,2,Low-Value
9360,11,41,316,690,24.146341463414636,1.9854244878226506e-18,0.0,1.0,28.727272727272727,29.155963198010557,0.0,0.0,Non-profitable,0,Moderate-Value
5376,28,42,1730,539,60.0,6.865921231972186e-34,0.0,1.0,61.785714285714285,62.00622130683966,0.0,0.0,Non-profitable,1,VIP
1993,14,63,972,553,20.0,8.734741478005629e-17,0.0,1.0,69.42857142857143,69.8946037691582,0.0,0.0,Non-profitable,1,VIP
4047,17,0,544,169,0.0,3.2190130324810892e-40,0.0,1.0,32.0,32.285562007308066,0.0,0.0,Non-profitable,0,Moderate-Value
1409,13,69,444,468,16.956521739130434,1.007185443409591e-13,0.0,1.0,34.15384615384615,34.534956203620645,0.0,0.0,Non-profitable,0,Moderate-Value
7892,6,89,75,543,6.067415730337078,9.321604953600128e-09,0.0,1.0,12.5,13.16761469870853,0.0,0.01,Profitable,2,Low-Value
2404,10,4,257,398,225.0,6.29609645151306e-22,0.0,1.0,25.7,26.15824921186926,0.0,0.0,Non-profitable,0,Moderate-Value
9422,7,26,131,394,24.23076923076923,3.2187218362769135e-11,0.0,1.0,18.714285714285715,19.325587363229342,0.0,0.0,Non-profitable,2,Low-Value
1966,25,96,1672,219,23.4375,7.303661544271191e-09,0.0,1.0,66.88,67.13607880259922,0.0,0.03,Profitable,1,VIP
6864,6,34,30,38,15.882352941176471,6.812615875157214,0.9012,0.0988,5.0,5.6116990076253,1.91,0.54,Profitable,2,Low-Value
3033,10,56,318,414,16.071428571428573,1.981327843300417e-11,0.0,1.0,31.8,32.28545493701532,0.0,0.0,Non-profitable,0,Moderate-Value
5710,7,31,120,627,20.32258064516129,5.1002746836253164e-14,0.0,1.0,17.142857142857142,17.744127474099923,0.0,0.0,Non-profitable,2,Low-Value
7373,11,8,302,608,123.75,1.1298809825013226e-24,0.0,1.0,27.454545454545453,27.878077738227283,0.0,0.0,Non-profitable,0,Moderate-Value
8755,17,4,1196,494,382.5,2.1788156962000885e-37,0.0,1.0,70.3529411764706,70.73893779310619,0.0,0.0,Non-profitable,1,VIP
10738,5,55,65,304,8.181818181818182,4.966689578170952e-06,0.0,1.0,13.0,13.80681392195081,0.0,0.08,Profitable,2,Low-Value
4339,23,37,913,180,55.945945945945944,1.459228716242796e-15,0.0,1.0,39.69565217391305,39.92146085410765,0.0,0.0,Non-profitable,0,Moderate-Value
